name,price,status,shipping,free_returns,items_sold
Lululemon Women's Crossbody Bag Burgundy Zipper / Magnetic ,2718,Pre-Owned,,False,0
VICTORIA LEATHER Co. Black Leather Purse Handbag Studded Gothic Shoulder Bag,1800,Pre-Owned,890,False,
ToryBurch TB Black Crossbody Bag Purse NEW,4900,Brand New,800,False,0
CUYANA Leather Double Loop Satchel Bag Cappuccino NEW,13999,Brand New,0,True,0
Crossbody Canvas Bag Cats  Books Recycled Beige Brown,4000,Brand New,0,False,0
Black Lululemon Key Bag Wallet Buckle Bag Dual Pouch Wristlet,2099,Brand New,0,False,0
Michael Kors Large Logo and Metallic Top-Zip Tote Bag,29900,Brand New,1620,False,
Handmade Women Bag,19000,Brand New,1187,False,
Victoria's Secret PINK Large Weekender Travel Beach Tote Bag Color Block Navy,1995,Brand New,0,False,0
ZADIG & VOLTAIRE  Boxy Wings Women’s Pebbled Leather Crossbody Bag Cream NEW,13600,New (Other),1258,False,
"Anti-Theft Crossbody Bag for Women, Fanny Packs for Women, Foldie Travel Brown",1690,Brand New,0,True,0
Vera Bradley Sunflower Sky with Bees ReActive Sling Backpack Side Bag,4499,Pre-Owned,1440,False,
MOSSDOOM Rectangle Shoulder High Capacity Bag For Women Simple Korean Style,4987,Brand New,0,False,28
Rachel Roy Leather crossbody purse,3000,Pre-Owned,,False,0
"Lululemon Athletica, Lululemon Everywhere Belt Bag 1L (Silver Drop)",996,Brand New,857,False,
