name,price,status,shipping,free_returns,items_sold
New 925 Silver Filled Snowflake Pendant Box Chain Necklace Womens Jewelry Choker,140,New (Other),0,True,0
925  Silver Big U Hoop Huggie Earrings Women Fashion Jewelry 2 Color,361,New (Other),0,False,
Fashion Sunflower Zircon Crystal Earrings Stud Drop Dangle Women Wedding Jewelry,177,New (Other),0,False,0
Women Romantic 925 Silver Ring Blue Cubic Zircon Wedding Party Jewelry Sz 6-10,252,Brand New,210,True,0
Christian Amulet Protection Large Wooden Wood Cross Pendant Necklace Jewelry ღ,289,Brand New,0,False,
Men Women Stainless Steel Crystal Rhinestone Ring Wedding Band Ring Jewelry Gift,99,Brand New,99,False,0
Lord of the Rings LOTR The One Ring Tungsten Without annotations Jewelry ,2499,Brand New,0,False,91
Womens 925 Silver Heart Shape Dangle Drop Earrings Fashion Jewelry E086,291,New (Other),0,False,
Funny Black Cat Ear Stud Earrings Stud Party Fashion Jewelry for Women Girl Gift,151,New (Other),0,False,102
Feng Shui Black Obsidian Beads Pixiu Bracelet Attract Wealth Good Luck Jewelry,299,Brand New,0,False,
"2/2.5/3/4/5mm 16-60"" SMOOTH  BOX ROPE SILVER STAINLESS STEEL CHAIN NECKLACE",744,Brand New,0,True,0
Fashion Stainless Steel Hollow Heart Ear Stud Earrings Women Party Jewelry Gift,89,New (Other),0,False,208
Sterling Silver Box Chain .8mm Genuine Solid 925 Italy Classic New Necklace,859,New (Other),0,True,0
Fashion Cubic Zircon Heart 925 Silver Necklace Pendant Wedding Women Jewelry,256,Brand New,210,True,1898
Opal Beaded Bracelet Opal Jewelry Natural Ethiopian Opal Bracelet Gemstone,1980,Brand New,0,True,
SHOT PLATE Jewelry Making 👀 4 Holes STOP NO Impression DIE Embossing Steel Dies,7000,Brand New,0,True,0
Shop on eBay,2000,Brand New,,False,
Shop on eBay,2000,Brand New,,False,
BULK Cardboard Kraft Paper JEWELRY GIFT BOXES Cotton Filled BROWN - for Shipping,919,Brand New,0,True,0
"Crystal Jewelry And 14 Carrot Gold Plated Rings, Necklaces And Bracelets",3000,New (Other),484,False,
14K White Gold Necklace With 1.82 Carat Oval Blue Sapphire Pendant Fine Jewelry,142500,Brand New,0,False,0
Coin Ring Making Tools - Center Punch - A Hole 4 Different USA 💍 Jewelry Making,5000,Brand New,0,True,0
Fashion Women Necklace Pendant Gold PlatedClavicle Chains Choker Card Jewelry,115,New (Other),0,False,
BOHO Vintage Silver Turquoise Knuckle Ring for Women Wedding Party Jewelry Gift,231,New (Other),0,False,65
Fashion Women 925 Silver Filled Ring Cubic Zircon Wedding Jewelry Gift Sz 6-10,231,Brand New,210,True,186
"Necklace with real raven's skull and real fox vertebrae bone, jewelry, #12",3500,Brand New,1500,False,0
Fashion Jewelry 925 Silver Plated Necklace Pendant Cubic Zircon Party Gift,404,Brand New,210,True,0
925 Sterling Silver Round Cut Clear Cubic Zirconia Stud Earrings Assorted Sizes,795,New (Other),0,True,364
Mens Miami Cuban link Chain Necklace Bracelet 14K Gold Plated,999,Brand New,99,False,0
Charm Women 925 Silver Filled Rings Faux Turquoise Engagement Jewelry Size 5-12,178,Brand New,210,True,
14K Gold Two Tone Natural Diamond Elegant Flower Pendant Necklace MZ71790,69900,Brand New,0,False,0
"My Daughter Necklace, Daughter Father Necklace, Daughter Jewelry Gifts from Dad",2995,Brand New,595,False,
5 pcs Ladie's  ring Wax patterns for lost wax casting jewelry / waxes_ke-1110,1000,New (Other),1365,True,0
"Solid Gold Crucifix Pendant in 10 or 14k, Cross Necklace Religious Jewelry",7344,Brand New,0,True,0
